"topic","term","beta"
1,"club",0.314349385949841
1,"girl",0.0376747089953018
1,"man",0.0324777686137829
1,"athletic",0.0259825579290083
1,"gt",0.0233843021361074
1,"2",0.0218899844974996
1,"ill",0.0215151256910377
1,"rochester",0.019756900140094
1,"strip",0.0129912789645033
1,"women",0.0116921510680537
2,"url",0.262200803933724
2,"bar",0.142770855229922
2,"b",0.0419914338263097
2,"ny",0.0411440625749742
2,"country",0.0377922904435552
2,"rochester",0.0354745547355431
2,"dinosaur",0.0346429329067055
2,"w",0.0346429329067036
2,"que",0.03254336121539
2,"others",0.0199459310674971
3,"wasted",0.0795805052047298
3,"night",0.0555562017328357
3,"last",0.0390381043054613
3,"cant",0.0340103798502655
3,"bottles",0.0315318982886673
3,"water",0.0182714829761048
3,"baby",0.0180182275931865
3,"haha",0.0150136398347792
3,"isnt",0.014881793072314
3,"summer",0.0135136706951431
4,"get",0.150363378035717
4,"people",0.0551832469184939
4,"see",0.0441253928042248
4,"one",0.036114349090681
4,"yak",0.0344895462118788
4,"still",0.031730382504518
4,"food",0.0165549628015802
4,"probably",0.01517538559915
4,"friends",0.0151751783375358
4,"come",0.0151736205033476
5,"turn",0.174454096276945
5,"thats",0.0498440260583701
5,"big",0.0228027188807208
5,"us",0.0202485375069348
5,"real",0.0202481211786448
5,"grad",0.0202462630166588
5,"turnup",0.0186915103151515
5,"boys",0.0155762585961491
5,"wait",0.0155762502523266
5,"making",0.0155683982316645
6,"got",0.101165361136867
6,"dont",0.0740919153649372
6,"today",0.0726666277507805
6,"know",0.069723788674941
6,"think",0.0313470133100041
6,"turnt",0.0242226921031939
6,"bitch",0.0242226920087531
6,"damn",0.0213729636204117
6,"tho",0.0199480993791009
6,"weekend",0.016837378764116
7,"amp",0.148538374589245
7,"life",0.103568040998004
7,"new",0.0804015055116099
7,"url",0.0684152509227427
7,"mention",0.0572255360691996
7,"shot",0.0548749268863109
7,"music",0.0531467578805557
7,"video",0.051784020499003
7,"1st",0.0490585457358976
7,"june",0.0476958083543448
8,"mention",0.101490534339219
8,"will",0.0588133859992698
8,"s",0.0534398637128127
8,"ass",0.027254984294804
8,"friend",0.0243849756891681
8,"always",0.0229446758216824
8,"one",0.0223854973688545
8,"shot",0.0206152291119429
8,"5",0.0200808315842405
8,"said",0.0167217445038007
9,"shit",0.0675864650599643
9,"shot",0.0470562473297365
9,"ya",0.0386204198926732
9,"fuck",0.0354024403017052
9,"make",0.0354024403017015
9,"ever",0.0321840366379138
9,"take",0.0244757045315027
9,"oh",0.0241392676123185
9,"nothing",0.0160920183189568
9,"cause",0.0160903644087356
10,"party",0.480775157226573
10,"bad",0.0325412291784111
10,"birthday",0.0303292741340295
10,"best",0.0211310627485905
10,"dance",0.020209340894211
10,"check",0.0101095466657354
10,"tea",0.00898331670170936
10,"saturday",0.0088482823069443
10,"happy",0.0086557594746347
10,"yo",0.00836399338611341
11,"now",0.0982934045831798
11,"shot",0.0609229111729124
11,"m",0.0470699893411265
11,"want",0.0401497118947846
11,"ive",0.0263039568095912
11,"getting",0.0242646668655868
11,"say",0.0206389313565897
11,"well",0.0204454727337307
11,"end",0.0193823948922701
11,"screen",0.0179981466942979
12,"like",0.125801011827465
12,"bottle",0.0964511647093183
12,"t",0.0419352890050129
12,"even",0.0349454858033337
12,"water",0.0319146181726522
12,"feel",0.0279568593368712
12,"phone",0.027956859332375
12,"don",0.022365487469497
12,"let",0.0223314045592418
12,"better",0.0209676331870909
13,"mention",0.512735100516996
13,"media",0.101712859956033
13,"crown",0.0232191788077554
13,"world",0.0176043994290837
13,"gonna",0.0141440660279436
13,"never",0.0116799362998633
13,"cream",0.00880222159155273
13,"thank",0.00782347229437986
13,"lot",0.00714222959994076
13,"ice",0.00682627132373268
14,"tonight",0.070117641055745
14,"go",0.0672082404817317
14,"going",0.0648421823919534
14,"right",0.0380743793672588
14,"fucking",0.0367282717690229
14,"girls",0.0350588205267967
14,"welcome",0.0267114822625371
14,"join",0.0267114044156065
14,"tomorrow",0.0200315249477006
14,"crazy",0.0183641159364546
15,"fucked",0.283281668130896
15,"really",0.0520033976034491
15,"house",0.0437923308390573
15,"drunk",0.0150536131502986
15,"show",0.0150509275409707
15,"morning",0.0134883718079766
15,"mad",0.0132860765500644
15,"everybody",0.0132328679809751
15,"literally",0.00933458311197304
15,"whole",0.00882837890676103
16,"im",0.206877077932824
16,"ny",0.0503924305407592
16,"7",0.028135279115936
16,"syracuse",0.0267355483033569
16,"youre",0.0253317490768778
16,"s",0.0221597132413296
16,"geneseo",0.0154806008336349
16,"24",0.0126667777558805
16,"n",0.0123295245605088
16,"whats",0.0112586187880981
16,"fit",0.0112586187880981
17,"can",0.102758026078096
17,"u",0.0481677947636827
17,"shot",0.046788033199963
17,"much",0.0417454480921389
17,"someone",0.0321118193296108
17,"wanna",0.0305059860971467
17,"bitches",0.0289006948337005
17,"hope",0.0240839123620537
17,"binge",0.0240839123610634
17,"something",0.0192669873127555
18,"day",0.0708707593403342
18,"love",0.0680353750447059
18,"lol",0.0629677203167494
18,"back",0.0481921844317398
18,"lean",0.0439399328641664
18,"home",0.0354196430043582
18,"come",0.0340198411821623
18,"way",0.0269308608579933
18,"ball",0.0195606606350162
18,"good",0.0165158605200112
19,"just",0.160658401152465
19,"shot",0.125041446889994
19,"need",0.0487892969634401
19,"good",0.0378098780227755
19,"beer",0.0301354903831393
19,"every",0.0228285427595694
19,"root",0.0186553035705148
19,"hit",0.0186553011217817
19,"away",0.01291519357864
19,"trying",0.0100081503780574
20,"time",0.0843109874562745
20,"shot",0.0761005959725279
20,"great",0.0394325551396216
20,"golf",0.0354892996314675
20,"4",0.0236594963004727
20,"family",0.0233923702463015
20,"put",0.0221180852302937
20,"made",0.019674982948059
20,"game",0.0163485278726312
20,"school",0.0144586031685568
